"DATE/TIME
DAY OF WEEK",CRIME TYPE DESCRIPTION,ADDRESS,INCIDENT #
LARCENY-FROM BUILDING,1400 BLOCK MCNEAL AV  ,"10/13/2015 17:00 
TUESDAY",151014000036
LARCENY-FROM BUILDING,1200 BLOCK N MILITARY HWY  ,"10/13/2015 17:30 
TUESDAY",151013237902
SHOPLIFTING AND CONCEALMENT,1100 BLOCK N MILITARY HWY  ,"10/13/2015 17:43 
TUESDAY",151013000113
SHOPLIFTING AND CONCEALMENT,7500 BLOCK TIDEWATER DR  ,"10/13/2015 17:51 
TUESDAY",151013000123
LARCENY (ALL OTHERS),2000 BLOCK MANTEO ST  ,"10/13/2015 17:57 
TUESDAY",151014000089
SHOPLIFTING AND CONCEALMENT,6200 BLOCK SEWELLS POINT RD  ,"10/13/2015 18:58 
TUESDAY",151013000122
LARCENY (ALL OTHERS),100 BLOCK W 26TH ST  ,"10/13/2015 21:43 
TUESDAY",151013000139
LARCENY (ALL OTHERS),7900 BLOCK GALVESTON BLVD  ,"10/14/2015 01:00 
WEDNESDAY",151014000003
SHOPLIFTING AND CONCEALMENT,3600 BLOCK N MILITARY HWY  ,"10/14/2015 02:02 
WEDNESDAY",151014000005
LARCENY (ALL OTHERS),400 BLOCK SAINT PAULS BLVD  ,"10/14/2015 05:30 
WEDNESDAY",151016000055
LARCENY (ALL OTHERS),2800 BLOCK EARLY ST  ,"10/14/2015 13:00 
WEDNESDAY",151014000086
SHOPLIFTING AND CONCEALMENT,1100 BLOCK N MILITARY HWY  ,"10/14/2015 14:00 
WEDNESDAY",151014000083
SHOPLIFTING AND CONCEALMENT,1100 BLOCK N MILITARY HWY  ,"10/14/2015 15:09 
WEDNESDAY",151014000090
SHOPLIFTING AND CONCEALMENT,7500 BLOCK TIDEWATER DR  ,"10/14/2015 15:52 
WEDNESDAY",151014000131
LARCENY (ALL OTHERS),1000 BLOCK PARK AV  ,"10/14/2015 18:25 
WEDNESDAY",151014000110
LARCENY (ALL OTHERS),NA  ,"10/14/2015 18:30 
WEDNESDAY",151014000115
LARCENY (ALL OTHERS),800 BLOCK W 41ST ST  ,"10/14/2015 22:15 
WEDNESDAY",151014000133
LARCENY (ALL OTHERS),2500 BLOCK LEO ST  ,"10/15/2015 00:01 
THURSDAY",151016000042
LARCENY (ALL OTHERS),6600 BLOCK STONEY POINT NORTH  ,"10/15/2015 02:00 
THURSDAY",151016000075
LARCENY-FROM BUILDING,1800 BLOCK MCDOWELL RD  ,"10/15/2015 03:00 
THURSDAY",151015000051
LARCENY (ALL OTHERS),9600 BLOCK 17TH BAY ST  ,"10/15/2015 09:33 
THURSDAY",151015000046
SHOPLIFTING AND CONCEALMENT,7500 BLOCK TIDEWATER DR  ,"10/15/2015 12:25 
THURSDAY",151015000097
SHOPLIFTING AND CONCEALMENT,1100 BLOCK N MILITARY HWY  ,"10/15/2015 15:25 
THURSDAY",151015000108
LARCENY (ALL OTHERS),9400 BLOCK 1ST VIEW ST  ,"10/15/2015 17:30 
THURSDAY",151017000044
SHOPLIFTING AND CONCEALMENT,6200 BLOCK CHESAPEAKE BLVD  ,"10/15/2015 18:20 
THURSDAY",151015000114
SHOPLIFTING AND CONCEALMENT,1100 BLOCK COLONIAL AV  ,"10/15/2015 21:45 
THURSDAY",151015000138
SHOPLIFTING AND CONCEALMENT,7500 BLOCK TIDEWATER DR  ,"10/16/2015 06:25 
FRIDAY",151016000102
LARCENY (ALL OTHERS),6100 BLOCK ALEXANDER ST  ,"10/16/2015 08:00 
FRIDAY",151017000072
LARCENY (ALL OTHERS),3500 BLOCK GRANBY ST  ,"10/16/2015 10:30 
FRIDAY",151016000087
LARCENY (ALL OTHERS),900 BLOCK W 21ST ST  ,"10/16/2015 12:00 
FRIDAY",151016000081
LARCENY-FROM BUILDING,9500 BLOCK 16TH BAY ST  ,"10/16/2015 14:00 
FRIDAY",151019000090
LARCENY (ALL OTHERS),800 BLOCK W LITTLE CREEK RD  ,"10/16/2015 14:20 
FRIDAY",151016000058
LARCENY (ALL OTHERS),800 BLOCK LEX ST  ,"10/16/2015 15:09 
FRIDAY",151016000067
LARCENY (ALL OTHERS),1900 BLOCK SAINT DENIS AV  ,"10/16/2015 16:18 
FRIDAY",151016000071
SHOPLIFTING AND CONCEALMENT,5900 BLOCK E VIRGINIA BEACH BLVD  ,"10/16/2015 18:30 
FRIDAY",151016000080
LARCENY (ALL OTHERS),700 BLOCK WATERSIDE DR  ,"10/17/2015 13:00 
SATURDAY",151017000059
"LARCENY, 3RD OFFENSE",300 BLOCK MONTICELLO AV  ,"10/17/2015 13:52 
SATURDAY",151017000065
SHOPLIFTING AND CONCEALMENT,1800 BLOCK E LITTLE CREEK RD  ,"10/17/2015 20:54 
SATURDAY",151017000094
LARCENY (ALL OTHERS),3300 BLOCK SEWELLS POINT RD  ,"10/17/2015 22:37 
SATURDAY",151017000103
LARCENY-OF BICYCLE,1300 BLOCK MYERS RD  ,"10/18/2015 04:00 
SUNDAY",151018000044
SHOPLIFTING AND CONCEALMENT,900 BLOCK E LITTLE CREEK RD  ,"10/18/2015 05:44 
SUNDAY",151018000019
SHOPLIFTING AND CONCEALMENT,800 BLOCK E LITTLE CREEK RD  ,"10/18/2015 10:00 
SUNDAY",151018000028
LARCENY-FROM BUILDING,1100 BLOCK N MILITARY HWY  ,"10/18/2015 14:35 
SUNDAY",151018000053
LARCENY-OF BICYCLE,500 BLOCK E GILPIN AV  ,"10/18/2015 17:27 
SUNDAY",151018000067
SHOPLIFTING AND CONCEALMENT,1100 BLOCK N MILITARY HWY  ,"10/18/2015 17:28 
SUNDAY",151018000057
LARCENY-FROM BUILDING,2400 BLOCK HANSON AV  ,"10/18/2015 18:19 
SUNDAY",151018000061
SHOPLIFTING AND CONCEALMENT,7500 BLOCK TIDEWATER DR  ,"10/18/2015 19:50 
SUNDAY",151018000073
SHOPLIFTING AND CONCEALMENT,1100 BLOCK N MILITARY HWY  ,"10/19/2015 12:16 
MONDAY",151019000049
SHOPLIFTING AND CONCEALMENT,1100 BLOCK N MILITARY HWY  ,"10/19/2015 12:54 
MONDAY",151019000055
SHOPLIFTING AND CONCEALMENT,1100 BLOCK N MILITARY HWY  ,"10/19/2015 13:29 
MONDAY",151019000065
"LARCENY, 3RD OFFENSE",1100 BLOCK N MILITARY HWY  ,"10/19/2015 17:04 
MONDAY",151019000086
LARCENY-FROM BUILDING,200 BLOCK E BERKLEY AV  ,"10/19/2015 19:20 
MONDAY",151019000092
SHOPLIFTING AND CONCEALMENT,1200 BLOCK N MILITARY HWY  ,"10/19/2015 19:55 
MONDAY",151019000095
SHOPLIFTING AND CONCEALMENT,3800 BLOCK COLLEY AV  ,"10/19/2015 20:32 
MONDAY",151019000100
 LARCENY - FROM AUTO/OF AUTO PARTS, 62 crime(s) ,,
LARCENY-PARTS FROM AUTO,400 BLOCK STATE ST  ,"10/13/2015 03:00 
TUESDAY",151013000106
LARCENY-FROM AUTO,300 BLOCK CHAPEL ST  ,"10/13/2015 09:00 
TUESDAY",151013000072
LARCENY-FROM AUTO,800 BLOCK E CITY HALL AV  ,"10/13/2015 09:45 
TUESDAY",151013000053
LARCENY-FROM AUTO,200 BLOCK GLENDALE AV  ,"10/13/2015 14:30 
TUESDAY",151014000044
LARCENY-PARTS FROM AUTO,NA  ,"10/13/2015 16:00 
TUESDAY",151014000113
LARCENY-FROM AUTO,7700 BLOCK HARRISONS RD  ,"10/13/2015 17:00 
TUESDAY",151014040301
LARCENY-FROM AUTO,5400 BLOCK BAYBERRY DR  ,"10/13/2015 18:00 
TUESDAY",151014000026
LARCENY-PARTS FROM AUTO,600 BLOCK GOFF ST  ,"10/13/2015 19:00 
TUESDAY",151014000023
LARCENY-FROM AUTO,1800 BLOCK BLAIR AV  ,"10/13/2015 19:40 
TUESDAY",151013000134
LARCENY-FROM AUTO,400 BLOCK SAINT PAULS BLVD  ,"10/13/2015 21:00 
TUESDAY",151014000050
LARCENY-FROM AUTO,8800 BLOCK HAMMETT AV  ,"10/13/2015 21:00 
TUESDAY",151014000073
LARCENY-FROM AUTO,100 BLOCK COMMODORE PL  ,"10/13/2015 21:00 
TUESDAY",151014000016
LARCENY-FROM AUTO,300 BLOCK MONTICELLO AV  ,"10/13/2015 21:00 
TUESDAY",151015000060
LARCENY-FROM AUTO,5500 BLOCK BAYBERRY DR  ,"10/13/2015 21:30 
TUESDAY",151014000075
LARCENY-FROM AUTO,400 BLOCK SAINT PAULS BLVD  ,"10/13/2015 23:00 
TUESDAY",151014000033
LARCENY-FROM AUTO,100 BLOCK W CHESTER ST  ,"10/13/2015 23:00 
TUESDAY",151014000027
LARCENY-FROM AUTO,1700 BLOCK HAMPTON BLVD  ,"10/14/2015 00:45 
WEDNESDAY",151014000002
LARCENY-FROM AUTO,5700 BLOCK CORNICK RD  ,"10/14/2015 01:12 
WEDNESDAY",151014000062
LARCENY-FROM AUTO,8000 BLOCK MONA AV  ,"10/14/2015 02:00 
WEDNESDAY",151014000063
LARCENY-FROM AUTO,5500 BLOCK BARNHOLLOW RD  ,"10/14/2015 04:00 
WEDNESDAY",151014000012
LARCENY-FROM AUTO,700 BLOCK W OCEAN VIEW AV  ,"10/14/2015 08:23 
WEDNESDAY",151014000032
LARCENY-PARTS FROM AUTO,6000 BLOCK WESTWOOD TER  ,"10/14/2015 08:45 
WEDNESDAY",151014000126
LARCENY-FROM AUTO,6300 BLOCK PARTRIDGE ST  ,"10/14/2015 10:08 
WEDNESDAY",151014000045
LARCENY-FROM AUTO,4600 BLOCK VILLAGE AV  ,"10/14/2015 10:25 
WEDNESDAY",151014000056
LARCENY-FROM AUTO,4600 BLOCK VILLAGE AV  ,"10/14/2015 10:25 
WEDNESDAY",151014000056
LARCENY-FROM AUTO,2800 BLOCK DANA ST  ,"10/14/2015 10:30 
WEDNESDAY",151014000052
LARCENY-PARTS FROM AUTO,800 BLOCK SCOTT ST  ,"10/14/2015 19:00 
WEDNESDAY",151015000038
LARCENY-FROM AUTO,900 BLOCK LINDENWOOD AV  ,"10/15/2015 06:00 
THURSDAY",151015000021
LARCENY-FROM AUTO,5300 BLOCK E PRINCESS ANNE RD  ,"10/15/2015 07:55 
THURSDAY",151015000048
LARCENY-FROM AUTO,100 BLOCK E BRAMBLETON AV  ,"10/15/2015 10:30 
THURSDAY",151015000094
LARCENY-FROM AUTO,800 BLOCK LINDENWOOD AV  ,"10/15/2015 14:45 
THURSDAY",151015000105
LARCENY-FROM AUTO,1100 BLOCK GEORGETOWN RD  ,"10/15/2015 20:30 
THURSDAY",151016000021
LARCENY-FROM AUTO,1200 BLOCK WESTMORELAND AV  ,"10/15/2015 21:00 
THURSDAY",151016000049
LARCENY-FROM AUTO,1100 BLOCK ROCKBRIDGE AV  ,"10/15/2015 21:30 
THURSDAY",151016000025
LARCENY-PARTS FROM AUTO,2800 BLOCK EARLY ST  ,"10/15/2015 22:00 
THURSDAY",151016000020
LARCENY-PARTS FROM AUTO,700 BLOCK SAINT PAULS BLVD  ,"10/15/2015 22:34 
THURSDAY",151016000013
LARCENY-FROM AUTO,800 BLOCK E VIRGINIA BEACH BLVD  ,"10/16/2015 00:01 
FRIDAY",151016000024
LARCENY-PARTS FROM AUTO,600 BLOCK E OCEAN VIEW AV  ,"10/16/2015 02:00 
FRIDAY",151016000009
LARCENY-FROM AUTO,2800 BLOCK EARLY ST  ,"10/16/2015 03:32 
FRIDAY",151016000029
LARCENY-PARTS FROM AUTO,8500 BLOCK OLD OCEAN VIEW RD  ,"10/16/2015 04:00 
FRIDAY",151016000014
LARCENY-FROM AUTO,5700 BLOCK LAKE WRIGHT DR  ,"10/16/2015 08:00 
FRIDAY",151019000032
LARCENY-PARTS FROM AUTO,6400 BLOCK E VIRGINIA BEACH BLVD  ,"10/16/2015 10:50 
FRIDAY",151016000032
LARCENY-FROM AUTO,6800 BLOCK MEADOWLAWN DR  ,"10/16/2015 12:35 
FRIDAY",151019900005
LARCENY-PARTS FROM AUTO,7800 BLOCK DALLAS ST  ,"10/16/2015 14:15 
FRIDAY",151019900004
LARCENY-FROM AUTO,1200 BLOCK W OCEAN VIEW AV  ,"10/16/2015 17:00 
FRIDAY",151019000024
LARCENY-FROM AUTO,1300 BLOCK E BAYVIEW BLVD  ,"10/16/2015 20:00 
FRIDAY",151017000025
LARCENY-FROM AUTO,800 BLOCK LITTLE BAY AV  ,"10/16/2015 23:00 
FRIDAY",151017000056
LARCENY-FROM AUTO,800 BLOCK CULPEPPER ST  ,"10/17/2015 13:00 
SATURDAY",151017000064
LARCENY-FROM AUTO,500 BLOCK BRACKENRIDGE AV  ,"10/17/2015 16:00 
SATURDAY",151018231601
LARCENY-FROM AUTO,2700 BLOCK CHESAPEAKE BLVD  ,"10/17/2015 18:00 
SATURDAY",151018000050
LARCENY-PARTS FROM AUTO,9600 BLOCK 15TH BAY ST  ,"10/17/2015 18:00 
SATURDAY",151018000042
LARCENY-FROM AUTO,900 BLOCK W 25TH ST  ,"10/17/2015 19:45 
SATURDAY",151017000088
LARCENY-FROM AUTO,500 BLOCK BRACKENRIDGE AV  ,"10/17/2015 20:00 
SATURDAY",151018000039
